exp_id,algorithm,num_bots,num_dirt,seed,max_steps,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
random_bots1_dirt50_seed0,random,1,50,0,500,500,False,31.0546,2026-04-09 23:26:45,0.0208,46,0,1819.7,0.0114,-4.74,0
random_bots1_dirt50_seed1,random,1,50,1,500,500,False,31.0682,2026-04-09 23:27:16,0.0424,41,0,1963.1,0.0216,-2.723,0
random_bots1_dirt100_seed0,random,1,100,0,500,500,False,31.0546,2026-04-09 23:27:47,0.0392,91,0,1844.3,0.0213,-2.924,0
random_bots1_dirt100_seed1,random,1,100,1,500,500,False,31.0535,2026-04-09 23:28:18,0.0352,91,0,1596.32,0.0221,-3.076,0
astar_bots1_dirt50_seed0,astar,1,50,0,500,500,False,31.0432,2026-04-09 23:28:49,0.04,48,1,1568.95,0.0255,-4.569,0
astar_bots1_dirt50_seed1,astar,1,50,1,500,500,False,37.4275,2026-04-09 23:29:27,0.0368,47,0,1635.66,0.0225,-2.956,0
astar_bots1_dirt100_seed0,astar,1,100,0,500,500,False,31.0315,2026-04-09 23:29:58,0.0492,99,0,1869.53,0.0263,-1.95,0
astar_bots1_dirt100_seed1,astar,1,100,1,500,500,False,31.2363,2026-04-09 23:30:29,0.024,94,0,1374.88,0.0175,-3.975,0
dstar_bots1_dirt50_seed0,dstar,1,50,0,500,500,False,31.4053,2026-04-09 23:31:01,0.0396,49,1,1583.23,0.025,-4.623,0
dstar_bots1_dirt50_seed1,dstar,1,50,1,500,500,False,31.1533,2026-04-09 23:31:32,0.0376,47,0,1674.4,0.0225,-2.914,0
dstar_bots1_dirt100_seed0,dstar,1,100,0,500,500,False,31.1197,2026-04-09 23:32:03,0.0492,99,0,1871.65,0.0263,-1.952,0
dstar_bots1_dirt100_seed1,dstar,1,100,1,500,500,False,31.444,2026-04-09 23:32:35,0.0376,95,0,1491.38,0.0252,-2.731,0
